date,members,price,stock
2025-07-16,21650,14.59,45344
2025-07-17,21654,14.6964,45180
2025-07-18,21666,14.5411,45420
2025-07-19,21676,14.2465,45888
2025-07-20,21686,14.2622,45862
2025-07-21,21701,14.3175,45774
2025-07-22,21700,14.3238,45764
2025-07-23,21712,14.4303,45595
2025-07-24,21748,14.4932,45495
2025-07-25,21776,14.476,45522
2025-07-26,21790,14.5033,45480
2025-07-27,21802,14.4543,45557
2025-07-28,21814,13.7327,46738
2025-07-29,21819,13.1394,47782
2025-07-30,21826,14.3966,45648
2025-07-31,21835,13.337,47427
2025-08-01,21845,12.6475,48702
2025-08-02,21854,12.8143,48384
2025-08-03,21861,12.8778,48265
2025-08-04,21863,12.6263,48743
2025-08-05,21866,12.5391,48912
2025-08-06,21874,11.9667,50068
2025-08-07,21883,11.3873,51326
2025-08-08,21888,11.1532,51862
2025-08-09,21898,11.2794,51571
2025-08-10,21910,11.2526,51633
2025-08-11,21924,12.3705,49245
2025-08-12,21932,12.981,48073
2025-08-13,21943,13.0069,48025
2025-08-14,21945,12.9823,48070
2025-08-15,21945,13.0006,48036
2025-08-16,21958,11.9654,50071
2025-08-17,21966,11.9938,50012
2025-08-18,21975,12.7927,48425
2025-08-19,21978,12.2251,49536
2025-08-20,21982,12.0875,49818
2025-08-21,21987,13.3197,47457
2025-08-22,21993,13.3586,47388
2025-08-23,21996,13.3745,47360
2025-08-24,21997,13.1784,47711
2025-08-25,21999,13.213,47649
2025-08-26,22003,13.2001,47672
2025-08-27,22011,12.8475,48322
