date,members,price,stock,volume,cap
2026-09-08,7368,11.1286,189587,3047.5,32272936.5
2026-09-09,7370,11.1308,189568,933.8,32279244.8
2026-09-10,7370,11.2507,188555,12600.0,32627130.9
2026-09-11,7371,11.3019,188127,6069.4,32775603.4
2026-09-12,7370,11.3493,187734,5808.3,32912989.9
2026-09-13,7372,11.7563,184456,42077.9,34093366.1
2026-09-14,7373,11.7573,184448,3325.9,34096144.3
2026-09-15,7373,11.7795,184274,3418.8,34160555.6
2026-09-16,7373,11.5507,186090,26237.4,33494169.6
2026-09-17,7373,11.4164,187182,13779.2,33107474.5
2026-09-18,7373,11.366,187596,5861.4,32961340.7
2026-09-19,7373,11.3111,188051,6481.1,32802275.0
2026-09-20,7373,10.9952,190734,32010.1,31885955.5
2026-09-21,7379,10.9078,191496,11388.2,31632601.7
2026-09-22,7380,10.8948,191610,2575.0,31594904.4
